{'total_loss': 1254.2495, 'time_loss': 937.19122, 'mark_loss': 317.05829, 'iter': 110}
{'total_loss': 1250.1965, 'time_loss': 933.8385, 'mark_loss': 316.35803, 'iter': 111}
{'total_loss': 1250.9784, 'time_loss': 935.17493, 'mark_loss': 315.8035, 'iter': 112}
{'total_loss': 1250.2406, 'time_loss': 934.39197, 'mark_loss': 315.8486, 'iter': 113}
{'total_loss': 1246.96, 'time_loss': 932.55518, 'mark_loss': 314.40475, 'iter': 114}
{'total_loss': 1243.7605, 'time_loss': 930.03119, 'mark_loss': 313.72931, 'iter': 115}
{'total_loss': 1244.0554, 'time_loss': 930.93219, 'mark_loss': 313.12323, 'iter': 116}
{'total_loss': 1243.6779, 'time_loss': 931.21497, 'mark_loss': 312.46292, 'iter': 117}
{'total_loss': 1239.8145, 'time_loss': 928.06165, 'mark_loss': 311.75281, 'iter': 118}
{'total_loss': 1238.1704, 'time_loss': 927.04285, 'mark_loss': 311.12756, 'iter': 119}
{'total_loss': 1235.8839, 'time_loss': 925.41663, 'mark_loss': 310.46729, 'iter': 120}
{'total_loss': 1236.27, 'time_loss': 925.70532, 'mark_loss': 310.5647, 'iter': 121}
{'total_loss': 1234.0348, 'time_loss': 924.84521, 'mark_loss': 309.18954, 'iter': 122}
{'total_loss': 1236.3428, 'time_loss': 926.72357, 'mark_loss': 309.6192, 'iter': 123}
{'total_loss': 1230.1985, 'time_loss': 922.37146, 'mark_loss': 307.82706, 'iter': 124}
{'total_loss': 1226.6355, 'time_loss': 919.45789, 'mark_loss': 307.17761, 'iter': 125}
{'total_loss': 1230.1021, 'time_loss': 922.58478, 'mark_loss': 307.51727, 'iter': 126}
{'total_loss': 1224.708, 'time_loss': 918.90222, 'mark_loss': 305.80576, 'iter': 127}
{'total_loss': 1224.4341, 'time_loss': 918.61914, 'mark_loss': 305.81497, 'iter': 128}
{'total_loss': 1221.5249, 'time_loss': 917.12299, 'mark_loss': 304.40192, 'iter': 129}
{'total_loss': 1219.7839, 'time_loss': 915.276, 'mark_loss': 304.50793, 'iter': 130}
{'total_loss': 1216.8574, 'time_loss': 913.72144, 'mark_loss': 303.13602, 'iter': 131}
{'total_loss': 1218.5828, 'time_loss': 916.11438, 'mark_loss': 302.46838, 'iter': 132}
{'total_loss': 1214.3601, 'time_loss': 912.58398, 'mark_loss': 301.77612, 'iter': 133}
{'total_loss': 1212.2991, 'time_loss': 911.19476, 'mark_loss': 301.10431, 'iter': 134}
{'total_loss': 1211.4136, 'time_loss': 910.31879, 'mark_loss': 301.09479, 'iter': 135}
{'total_loss': 1209.5884, 'time_loss': 909.18854, 'mark_loss': 300.39984, 'iter': 136}
{'total_loss': 1206.9719, 'time_loss': 907.89014, 'mark_loss': 299.08179, 'iter': 137}
{'total_loss': 1204.8191, 'time_loss': 905.77747, 'mark_loss': 299.0416, 'iter': 138}
{'total_loss': 1202.5449, 'time_loss': 904.9646, 'mark_loss': 297.58035, 'iter': 139}
{'total_loss': 1202.9307, 'time_loss': 905.90814, 'mark_loss': 297.02252, 'iter': 140}
{'total_loss': 1201.9067, 'time_loss': 905.53131, 'mark_loss': 296.37543, 'iter': 141}
{'total_loss': 1200.491, 'time_loss': 904.80444, 'mark_loss': 295.68649, 'iter': 142}
{'total_loss': 1197.425, 'time_loss': 902.44513, 'mark_loss': 294.97992, 'iter': 143}
{'total_loss': 1194.7283, 'time_loss': 900.47559, 'mark_loss': 294.25266, 'iter': 144}
{'total_loss': 1194.4535, 'time_loss': 900.80707, 'mark_loss': 293.64642, 'iter': 145}
{'total_loss': 1190.5465, 'time_loss': 897.6308, 'mark_loss': 292.91571, 'iter': 146}
{'total_loss': 1189.6399, 'time_loss': 897.38599, 'mark_loss': 292.25388, 'iter': 147}
{'total_loss': 1188.8995, 'time_loss': 897.31329, 'mark_loss': 291.58624, 'iter': 148}
{'total_loss': 1187.1201, 'time_loss': 896.23395, 'mark_loss': 290.88617, 'iter': 149}
{'total_loss': 1184.4084, 'time_loss': 894.25732, 'mark_loss': 290.15115, 'iter': 150}
{'total_loss': 1183.3447, 'time_loss': 893.83313, 'mark_loss': 289.51157, 'iter': 151}
{'total_loss': 1182.7589, 'time_loss': 893.28888, 'mark_loss': 289.47003, 'iter': 152}
{'total_loss': 1180.7023, 'time_loss': 892.55652, 'mark_loss': 288.14578, 'iter': 153}
{'total_loss': 1177.0886, 'time_loss': 889.58752, 'mark_loss': 287.5011, 'iter': 154}
{'total_loss': 1176.998, 'time_loss': 890.19946, 'mark_loss': 286.79858, 'iter': 155}
{'total_loss': 1174.2048, 'time_loss': 888.04681, 'mark_loss': 286.15802, 'iter': 156}
{'total_loss': 1173.3596, 'time_loss': 887.9389, 'mark_loss': 285.42072, 'iter': 157}
{'total_loss': 1173.1918, 'time_loss': 887.82336, 'mark_loss': 285.36841, 'iter': 158}
{'total_loss': 1168.1251, 'time_loss': 884.07513, 'mark_loss': 284.04999, 'iter': 159}
{'total_loss': 1166.9236, 'time_loss': 883.57025, 'mark_loss': 283.35333, 'iter': 160}
{'total_loss': 1164.1974, 'time_loss': 881.52747, 'mark_loss': 282.66992, 'iter': 161}
{'total_loss': 1164.085, 'time_loss': 882.05676, 'mark_loss': 282.02817, 'iter': 162}
{'total_loss': 1163.0654, 'time_loss': 881.80872, 'mark_loss': 281.25668, 'iter': 163}
{'total_loss': 1160.0618, 'time_loss': 879.53076, 'mark_loss': 280.53098, 'iter': 164}
{'total_loss': 1158.4064, 'time_loss': 878.55591, 'mark_loss': 279.85043, 'iter': 165}
{'total_loss': 1158.4365, 'time_loss': 879.2204, 'mark_loss': 279.21613, 'iter': 166}
{'total_loss': 1157.8682, 'time_loss': 878.71771, 'mark_loss': 279.15045, 'iter': 167}
{'total_loss': 1153.8212, 'time_loss': 876.14514, 'mark_loss': 277.67603, 'iter': 168}
{'total_loss': 1152.6775, 'time_loss': 875.50452, 'mark_loss': 277.17294, 'iter': 169}
{'total_loss': 1149.8446, 'time_loss': 873.40186, 'mark_loss': 276.44275, 'iter': 170}
{'total_loss': 1154.2371, 'time_loss': 877.51685, 'mark_loss': 276.72025, 'iter': 171}
{'total_loss': 1146.7722, 'time_loss': 871.77527, 'mark_loss': 274.99695, 'iter': 172}
{'total_loss': 1145.4402, 'time_loss': 871.06677, 'mark_loss': 274.37344, 'iter': 173}
{'total_loss': 1143.916, 'time_loss': 870.25732, 'mark_loss': 273.65869, 'iter': 174}
{'total_loss': 1139.7749, 'time_loss': 866.8219, 'mark_loss': 272.953, 'iter': 175}
{'total_loss': 1139.5624, 'time_loss': 867.3551, 'mark_loss': 272.20728, 'iter': 176}
{'total_loss': 1139.3844, 'time_loss': 867.84497, 'mark_loss': 271.53946, 'iter': 177}
{'total_loss': 1138.6847, 'time_loss': 867.86493, 'mark_loss': 270.81976, 'iter': 178}
{'total_loss': 1133.3401, 'time_loss': 863.24072, 'mark_loss': 270.0994, 'iter': 179}
{'total_loss': 1132.2979, 'time_loss': 862.99927, 'mark_loss': 269.29858, 'iter': 180}
{'total_loss': 1131.3071, 'time_loss': 862.52338, 'mark_loss': 268.78375, 'iter': 181}
{'total_loss': 1130.2739, 'time_loss': 862.23096, 'mark_loss': 268.04297, 'iter': 182}
{'total_loss': 1126.4464, 'time_loss': 859.30267, 'mark_loss': 267.14374, 'iter': 183}
{'total_loss': 1127.5571, 'time_loss': 860.91498, 'mark_loss': 266.64215, 'iter': 184}
{'total_loss': 1122.1412, 'time_loss': 856.20374, 'mark_loss': 265.93747, 'iter': 185}
{'total_loss': 1122.3422, 'time_loss': 857.24646, 'mark_loss': 265.0957, 'iter': 186}
{'total_loss': 1119.8807, 'time_loss': 855.5874, 'mark_loss': 264.2933, 'iter': 187}
{'total_loss': 1123.3789, 'time_loss': 858.63965, 'mark_loss': 264.73929, 'iter': 188}
{'total_loss': 1119.5994, 'time_loss': 855.85736, 'mark_loss': 263.742, 'iter': 189}
{'total_loss': 1116.2263, 'time_loss': 854.06927, 'mark_loss': 262.15704, 'iter': 190}
{'total_loss': 1113.4666, 'time_loss': 851.77881, 'mark_loss': 261.68774, 'iter': 191}
{'total_loss': 1111.7771, 'time_loss': 851.02429, 'mark_loss': 260.75281, 'iter': 192}
{'total_loss': 1109.0531, 'time_loss': 848.52515, 'mark_loss': 260.52795, 'iter': 193}
{'total_loss': 1110.9246, 'time_loss': 850.4751, 'mark_loss': 260.44943, 'iter': 194}
{'total_loss': 1105.7931, 'time_loss': 846.92737, 'mark_loss': 258.86572, 'iter': 195}
{'total_loss': 1104.9872, 'time_loss': 846.83154, 'mark_loss': 258.15561, 'iter': 196}
{'total_loss': 1106.9014, 'time_loss': 848.82483, 'mark_loss': 258.07657, 'iter': 197}
{'total_loss': 1100.6978, 'time_loss': 843.98901, 'mark_loss': 256.70877, 'iter': 198}
{'total_loss': 1100.3674, 'time_loss': 844.33557, 'mark_loss': 256.03186, 'iter': 199}
{'total_loss': 1097.0726, 'time_loss': 841.80249, 'mark_loss': 255.27014, 'iter': 200}
{'total_loss': 1097.3033, 'time_loss': 842.68127, 'mark_loss': 254.62209, 'iter': 201}
{'total_loss': 1093.964, 'time_loss': 840.09668, 'mark_loss': 253.86728, 'iter': 202}
{'total_loss': 1091.7434, 'time_loss': 838.59326, 'mark_loss': 253.15015, 'iter': 203}
{'total_loss': 1088.3708, 'time_loss': 835.97333, 'mark_loss': 252.39752, 'iter': 204}
{'total_loss': 1089.8057, 'time_loss': 837.63684, 'mark_loss': 252.16885, 'iter': 205}
{'total_loss': 1084.4535, 'time_loss': 833.47028, 'mark_loss': 250.98322, 'iter': 206}
{'total_loss': 1085.1023, 'time_loss': 834.84717, 'mark_loss': 250.25511, 'iter': 207}
{'total_loss': 1084.2583, 'time_loss': 834.69708, 'mark_loss': 249.56122, 'iter': 208}
{'total_loss': 1088.0055, 'time_loss': 838.20471, 'mark_loss': 249.80075, 'iter': 209}
{'total_loss': 1078.7998, 'time_loss': 830.71368, 'mark_loss': 248.08611, 'iter': 210}
{'total_loss': 1080.0549, 'time_loss': 832.67932, 'mark_loss': 247.37561, 'iter': 211}
{'total_loss': 1078.7191, 'time_loss': 832.10297, 'mark_loss': 246.61615, 'iter': 212}
{'total_loss': 1074.6151, 'time_loss': 828.6709, 'mark_loss': 245.9442, 'iter': 213}
{'total_loss': 1073.2756, 'time_loss': 828.12268, 'mark_loss': 245.15295, 'iter': 214}
{'total_loss': 1071.5541, 'time_loss': 827.08948, 'mark_loss': 244.46458, 'iter': 215}
{'total_loss': 1069.2637, 'time_loss': 825.74854, 'mark_loss': 243.51514, 'iter': 216}
{'total_loss': 1069.139, 'time_loss': 825.68811, 'mark_loss': 243.45093, 'iter': 217}
{'total_loss': 1067.1577, 'time_loss': 825.11139, 'mark_loss': 242.04633, 'iter': 218}
{'total_loss': 1064.2644, 'time_loss': 822.29333, 'mark_loss': 241.97104, 'iter': 219}
{'total_loss': 1062.3905, 'time_loss': 821.53528, 'mark_loss': 240.85526, 'iter': 220}
{'total_loss': 1060.093, 'time_loss': 819.99719, 'mark_loss': 240.09586, 'iter': 221}
{'total_loss': 1058.7166, 'time_loss': 819.65021, 'mark_loss': 239.06635, 'iter': 222}
{'total_loss': 1056.8258, 'time_loss': 817.74255, 'mark_loss': 239.08328, 'iter': 223}
{'total_loss': 1059.7361, 'time_loss': 820.99524, 'mark_loss': 238.74081, 'iter': 224}
{'total_loss': 1051.3899, 'time_loss': 814.19751, 'mark_loss': 237.19238, 'iter': 225}
{'total_loss': 1050.766, 'time_loss': 814.18774, 'mark_loss': 236.57822, 'iter': 226}
{'total_loss': 1049.8477, 'time_loss': 814.06134, 'mark_loss': 235.78632, 'iter': 227}
{'total_loss': 1051.6035, 'time_loss': 815.82031, 'mark_loss': 235.78322, 'iter': 228}
{'total_loss': 1045.4417, 'time_loss': 811.03198, 'mark_loss': 234.40964, 'iter': 229}
{'total_loss': 1043.5774, 'time_loss': 810.32495, 'mark_loss': 233.25246, 'iter': 230}
{'total_loss': 1044.3523, 'time_loss': 811.44397, 'mark_loss': 232.90833, 'iter': 231}
{'total_loss': 1041.3179, 'time_loss': 809.16632, 'mark_loss': 232.15157, 'iter': 232}
{'total_loss': 1038.7856, 'time_loss': 807.35913, 'mark_loss': 231.42651, 'iter': 233}
{'total_loss': 1038.5237, 'time_loss': 807.78516, 'mark_loss': 230.73853, 'iter': 234}
{'total_loss': 1037.5029, 'time_loss': 807.20239, 'mark_loss': 230.30054, 'iter': 235}
{'total_loss': 1037.1995, 'time_loss': 807.56213, 'mark_loss': 229.6373, 'iter': 236}
{'total_loss': 1032.3691, 'time_loss': 803.90955, 'mark_loss': 228.45961, 'iter': 237}
{'total_loss': 1036.0516, 'time_loss': 807.56934, 'mark_loss': 228.48233, 'iter': 238}
{'total_loss': 1030.5759, 'time_loss': 803.08649, 'mark_loss': 227.48944, 'iter': 239}
{'total_loss': 1028.5082, 'time_loss': 802.1925, 'mark_loss': 226.31567, 'iter': 240}
{'total_loss': 1029.4702, 'time_loss': 802.76147, 'mark_loss': 226.70872, 'iter': 241}
{'total_loss': 1024.0969, 'time_loss': 799.20526, 'mark_loss': 224.89168, 'iter': 242}
{'total_loss': 1022.2203, 'time_loss': 798.09174, 'mark_loss': 224.1286, 'iter': 243}
{'total_loss': 1020.3936, 'time_loss': 796.90417, 'mark_loss': 223.48947, 'iter': 244}
{'total_loss': 1018.6466, 'time_loss': 795.88147, 'mark_loss': 222.76517, 'iter': 245}
{'total_loss': 1021.4832, 'time_loss': 798.68213, 'mark_loss': 222.80101, 'iter': 246}
{'total_loss': 1015.0873, 'time_loss': 793.80756, 'mark_loss': 221.27974, 'iter': 247}
{'total_loss': 1012.0706, 'time_loss': 791.49487, 'mark_loss': 220.57567, 'iter': 248}
{'total_loss': 1011.5111, 'time_loss': 791.31769, 'mark_loss': 220.19341, 'iter': 249}
{'total_loss': 1010.4396, 'time_loss': 791.14844, 'mark_loss': 219.29117, 'iter': 250}
{'total_loss': 1009.8162, 'time_loss': 791.40668, 'mark_loss': 218.40948, 'iter': 251}
{'total_loss': 1007.5883, 'time_loss': 789.56653, 'mark_loss': 218.02179, 'iter': 252}
{'total_loss': 1005.2734, 'time_loss': 788.26562, 'mark_loss': 217.0078, 'iter': 253}
{'total_loss': 1006.5556, 'time_loss': 789.51965, 'mark_loss': 217.03592, 'iter': 254}
{'total_loss': 1005.4595, 'time_loss': 788.90778, 'mark_loss': 216.55171, 'iter': 255}
{'total_loss': 1001.8856, 'time_loss': 787.09839, 'mark_loss': 214.78726, 'iter': 256}
{'total_loss': 998.50714, 'time_loss': 784.07043, 'mark_loss': 214.43672, 'iter': 257}
{'total_loss': 994.96436, 'time_loss': 782.00061, 'mark_loss': 212.96371, 'iter': 258}
{'total_loss': 995.63489, 'time_loss': 782.91394, 'mark_loss': 212.72092, 'iter': 259}
{'total_loss': 994.87451, 'time_loss': 782.96692, 'mark_loss': 211.90762, 'iter': 260}
{'total_loss': 993.75793, 'time_loss': 782.57135, 'mark_loss': 211.18658, 'iter': 261}
{'total_loss': 990.63196, 'time_loss': 780.12244, 'mark_loss': 210.50952, 'iter': 262}
{'total_loss': 988.00488, 'time_loss': 777.8385, 'mark_loss': 210.1664, 'iter': 263}
{'total_loss': 985.95923, 'time_loss': 776.72327, 'mark_loss': 209.23596, 'iter': 264}
{'total_loss': 983.44739, 'time_loss': 775.45026, 'mark_loss': 207.99713, 'iter': 265}
{'total_loss': 982.87891, 'time_loss': 775.24402, 'mark_loss': 207.63487, 'iter': 266}
{'total_loss': 982.67664, 'time_loss': 775.14136, 'mark_loss': 207.53528, 'iter': 267}
{'total_loss': 980.70856, 'time_loss': 774.45941, 'mark_loss': 206.24913, 'iter': 268}
{'total_loss': 981.37195, 'time_loss': 775.09778, 'mark_loss': 206.2742, 'iter': 269}
{'total_loss': 975.69617, 'time_loss': 770.59363, 'mark_loss': 205.10254, 'iter': 270}
{'total_loss': 974.08533, 'time_loss': 770.08051, 'mark_loss': 204.00484, 'iter': 271}
{'total_loss': 972.44531, 'time_loss': 769.02942, 'mark_loss': 203.41591, 'iter': 272}
{'total_loss': 971.30017, 'time_loss': 768.59399, 'mark_loss': 202.70615, 'iter': 273}
{'total_loss': 969.87085, 'time_loss': 767.76624, 'mark_loss': 202.10461, 'iter': 274}
